"id","var","nums","yvs","pTMEAN","tauTMEAN","pPRCP","tauPRCP","ppH","taupH","pANC","tauANC","pSO4","tauSO4","pNO3","tauNO3","pNH4","tauNH4","ptotN","tautotN"
"annbtgwac","annbtgw",28,"ac",0.19004397922092,0.239130467176437,0.454246458116469,0.14492754638195,0.119875307724092,0.279492288827896,0.104743289545116,0.289855092763901,0.080553672429857,-0.311594247817993,0.238982946732465,-0.217391327023506,0.0239063216881319,-0.391304403543472,0.19004397922092,-0.239130467176437
"annbtgwkt","annbtgw",28,"kt",0.238982946732465,0.217391327023506,0.889719179772604,0.0362318865954876,0.000102897743126015,0.656988382339478,0.000271645111220861,0.615942120552063,8.00210219624984e-05,-0.666666746139526,0.000271645111220861,-0.615942120552063,0.00607691150536096,-0.471014559268951,0.000312877673689925,-0.60869574546814
"annbtgwsd","annbtgw",28,"sd",0.021325305711513,0.398550778627396,0.454246458116469,0.14492754638195,0.0252784615132346,0.388385415077209,0.0586294901782069,0.333333373069763,0.0268478505751666,-0.384057998657227,0.0239063216881319,-0.391304403543472,0.104743289545116,-0.289855092763901,0.0167469660441081,-0.413043528795242
"annbtgwsk","annbtgw",28,"sk",0.889719179772604,-0.0362318865954876,0.801097709299897,-0.0579710192978382,0.906695301775818,-0.0326679311692715,0.983304661870379,0.0144927548244596,0.993227100469728,-0.00724637741222978,0.922608878620234,0.0289855096489191,0.355083930509906,-0.173913061618805,0.993227100469728,0.00724637741222978
"annleflac","annlefl",29,"ac",0.355083930509906,0.173913061618805,0.258093246743699,-0.210144951939583,1,-0.00362977012991905,0.954202224503459,-0.0217391327023506,0.922608878620234,-0.0289855096489191,0.889719179772604,-0.0362318865954876,0.993227100469728,-0.00724637741222978,0.983304661870379,0.0144927548244596
"annleflkt","annlefl",29,"kt",0.745682396978702,-0.0724637731909752,0.378934397173755,0.166666686534882,0.883287858593372,0.0399274714291096,0.771219698441221,0.0652173981070518,0.866173579775054,-0.0434782654047012,0.993227100469728,-0.00724637741222978,0.19004397922092,-0.239130467176437,0.801097709299897,-0.0579710192978382
"annleflsd","annlefl",29,"sd",0.0340978108095319,-0.36956524848938,0.311304301750369,-0.188405811786652,1.75054018836107e-07,-0.889293670654297,9.42596797544452e-07,-0.840579807758331,1.7390531652114e-05,0.731884121894836,0,0.811594307422638,0.0116102642759129,0.434782654047012,1.0738629182173e-05,0.76086962223053
"annleflsk","annlefl",29,"sk",1,0,0.0340978108095319,0.36956524848938,0.100367827732676,0.294011384248734,0.114357148597373,0.282608717679977,0.355083930509906,-0.173913061618805,0.164679830310909,-0.253623217344284,0.0529036001314091,-0.340579748153687,0.126186461583805,-0.275362342596054
"annovenac","annoven",30,"ac",0.104743289545116,0.289855092763901,0.378934397173755,0.166666686534882,3.59983448947358e-05,0.700545608997345,0.000132168040556066,0.644927620887756,0.000231792417501933,-0.623188495635986,3.46179651981457e-05,-0.702898621559143,0.0128563700856029,-0.427536278963089,0.000110177906017383,-0.65217399597168
"annovenkt","annoven",30,"kt",0.716573303551983,-0.0797101557254791,0.273424145517547,-0.202898576855659,0.100367827732676,-0.294011384248734,0.204152456144007,-0.231884077191353,0.293298021753006,0.195652201771736,0.177995445116745,0.246376842260361,0.0302822726896439,0.376811623573303,0.114357148597373,0.282608717679977
"annovensd","annoven",30,"sd",0.138690279774457,0.268115967512131,0.126186461583805,0.275362342596054,0.000102897743126015,0.656988382339478,0.000312877673689925,0.60869574546814,0.0025512195024334,-0.514492809772491,0.000231792417501933,-0.623188495635986,0.0147865728516759,-0.420289903879166,0.000193756690330722,-0.63043487071991
"annovensk","annoven",30,"sk",0.114357148597373,-0.282608717679977,0.204152456144007,-0.231884077191353,0.00370581621172452,-0.4972785115242,0.0039691054101648,-0.492753684520721,0.0128563700856029,0.427536278963089,0.0039691054101648,0.492753684520721,0.0382221587716717,0.362318873405457,0.0025512195024334,0.514492809772491
"annreviac","annrevi",31,"ac",0.626113776729876,0.10144928842783,0.889719179772604,-0.0362318865954876,0.731194108123598,-0.0762251690030098,0.771219698441221,-0.0652173981070518,0.685877173486417,0.0869565308094025,0.655387310670897,0.0942029058933258,0.655387310670897,0.0942029058933258,0.506261529985643,0.130434796214104
"annrevikt","annrevi",31,"kt",0.114357148597373,-0.282608717679977,1,0,0.000252017412891554,-0.620690703392029,0.000110177906017383,-0.65217399597168,3.46179651981457e-05,0.702898621559143,5.44351244729663e-05,0.681159496307373,0.0477925591929463,0.34782612323761,0.000193756690330722,0.63043487071991
"annrevisd","annrevi",31,"sd",0.177995445116745,-0.246376842260361,0.114357148597373,-0.282608717679977,0.00960637480020523,-0.446461707353592,0.0167469660441081,-0.413043528795242,0.0882896190291052,0.30434787273407,0.0167469660441081,0.413043528795242,0.19004397922092,0.239130467176437,0.0147865728516759,0.420289903879166
"annrevisk","annrevi",31,"sk",0.204152456144007,0.231884077191353,0.331960985553798,0.181159436702728,0.00240206718444824,0.519057095050812,0.0128563700856029,0.427536278963089,0.00901592968113394,-0.449275404214859,0.000769278076734013,-0.572463810443878,0.00607691150536096,-0.471014559268951,0.000907143983623069,-0.565217435359955
"BIOCac","BIOC",21,"ac",0.700105311506886,-0.128205135464668,0.41975180397571,-0.230769246816635,0.0221427854533507,-0.580657303333282,0.14918998822774,-0.384615421295166,0.14918998822774,0.384615421295166,0.553901891484273,0.179487198591232,0.771219698441221,-0.102564111351967,0.771219698441221,0.102564111351967
"BIOCkt","BIOC",21,"kt",0.983678768742121,-0.0256410278379917,0.842737080664608,0.0769230872392654,0.589598755702338,0.167745441198349,0.842737080664608,0.0769230872392654,0.983678768742121,0.0256410278379917,0.983678768742121,0.0256410278379917,0.357333545796355,0.256410270929337,0.626113776729876,0.153846174478531
"BIOCsd","BIOC",21,"sd",0.983678768742121,-0.0256410278379917,0.30402307598003,0.282051295042038,0.330471274010221,0.270973384380341,0.700105311506886,0.128205135464668,0.842737080664608,-0.0769230872392654,0.700105311506886,0.128205135464668,0.118609899404098,0.410256445407867,0.357333545796355,0.256410270929337
"BIOCsk","BIOC",21,"sk",0.771219698441221,-0.102564111351967,0.357333545796355,0.256410270929337,0.883978540534215,-0.0645174756646156,0.480162143707275,-0.205128222703934,0.182126738488454,0.358974397182465,0.259325719073536,0.307692348957062,0.30402307598003,0.282051295042038,0.14918998822774,0.384615421295166
"BIONac","BION",22,"ac",0.983678768742121,0.0256410278379917,0.700105311506886,-0.128205135464668,0.0392702342382546,0.529043316841125,0.0959016733002244,0.435897469520569,0.30402307598003,-0.282051295042038,0.30402307598003,-0.282051295042038,1,0,0.480162143707275,-0.205128222703934
"BIONkt","BION",22,"kt",0.626113776729876,0.153846174478531,0.771219698441221,-0.102564111351967,0.00638734568720279,0.683885216712952,0.0142049954424267,0.615384697914124,0.0453947600085377,-0.512820541858673,0.182126738488454,-0.358974397182465,0.983678768742121,0.0256410278379917,0.30402307598003,-0.282051295042038
