"WaterYear","flow_mm","volwt_Ca","volwt_Mg","volwt_K","volwt_Na","volwt_Al_Ferron","volwt_TMAl","volwt_OMAl","volwt_Al_ICP","volwt_NH4","volwt_SO4","volwt_NO3","volwt_Cl","volwt_PO4","volwt_DOC","volwt_TDN","volwt_DON","volwt_DIC","volwt_SiO2","volwt_Mn","volwt_Fe","volwt_F","volwt_H","volwt_pH","volwt_SpecCond","volwt_ANC"
1984,648.289,1.13,0.27,0.16,0.92,-888.888,-888.888,-888.888,-888.88,0.015,5.37,0.514,0.49,0.005,-888.88,-888.88,-888.88,-888.88,4.96,-888.88,-888.88,-888.88,0.0083,5.08,20.1,-888.888
1985,859.931,1.07,0.25,0.14,0.81,-888.888,-888.888,-888.888,-888.88,0.021,5.16,0.375,0.39,0.006,-888.88,-888.88,-888.88,-888.88,4.54,-888.88,-888.88,-888.88,0.0102,4.99,19.57,-888.888
1986,791.519,1.14,0.27,0.15,0.92,-888.888,-888.888,-888.888,-888.88,0.024,5.22,0.584,0.35,0.005,-888.88,-888.88,-888.88,-888.88,5.09,-888.88,-888.88,-888.88,0.0081,5.09,19.46,-888.888
1987,716.706,1.12,0.3,0.15,1.02,-888.888,-888.888,-888.888,-888.88,0.02,5.26,0.514,0.46,0.009,-888.88,-888.88,-888.88,-888.88,5.22,-888.88,-888.88,-888.88,0.0074,5.13,19.93,-888.888
1988,641.841,1.2,0.31,0.17,1.03,-888.888,-888.888,-888.888,-888.88,0.021,5.37,0.945,0.55,0.001,-888.88,-888.88,-888.88,-888.88,4.8,-888.88,-888.88,-888.88,0.0082,5.09,20.14,-888.888
1989,1007.272,1.16,0.28,0.15,0.99,-888.888,-888.888,-888.888,-888.88,0.024,5.26,1.036,0.48,0.007,-888.88,-888.88,-888.88,-888.88,5.02,-888.88,-888.88,-888.88,0.0092,5.04,18.95,-888.888
1990,1083.805,1.14,0.28,0.14,0.92,-888.888,-888.888,-888.888,-888.88,0.023,5.14,0.855,0.43,0.007,-888.88,-888.88,-888.88,-888.88,5.02,-888.88,-888.88,-888.88,0.0085,5.07,18.17,-888.888
1991,837.347,1.07,0.28,0.12,0.88,-888.888,-888.888,-888.888,-888.88,0.026,5.13,0.363,0.41,0.003,-888.88,-888.88,-888.88,-888.88,4.82,-888.88,-888.88,-888.88,0.0081,5.09,16.37,-888.888
1992,874.858,1.01,0.26,0.1,0.91,-888.888,-888.888,-888.888,-888.88,0.031,4.99,0.241,0.4,0,-888.88,-888.88,-888.88,-888.88,4.83,-888.88,-888.88,-888.88,0.008,5.1,15.95,-888.888
1993,851.037,0.98,0.25,0.12,0.89,-888.888,-888.888,-888.888,-888.88,0.016,5.04,0.164,0.53,0,-888.88,-888.88,-888.88,-888.88,4.63,-888.88,-888.88,-888.88,0.0086,5.07,15.53,-888.888
1994,566.186,1.06,0.28,0.11,1.08,-888.888,-888.888,-888.888,-888.88,0.016,5.11,0.341,0.5,0,-888.88,-888.88,-888.88,-888.88,5.53,-888.88,-888.88,-888.88,0.0062,5.21,16.09,-888.888
1995,1280.515,0.92,0.24,0.12,0.93,-888.888,-888.888,-888.888,-888.88,0.012,4.63,0.243,0.63,0,-888.88,-888.88,-888.88,-888.88,4.75,-888.88,-888.88,-888.88,0.0086,5.06,15.51,-5.43
1996,1105.227,0.84,0.22,0.14,0.84,-888.888,-888.888,-888.888,-888.88,0.011,4.22,0.21,0.5,0,-888.88,-888.88,-888.88,0.53,4.29,-888.88,-888.88,-888.88,0.0082,5.09,14.5,-2.77
1997,705.479,0.87,0.24,0.14,0.9,-888.888,-888.888,-888.888,-888.88,0.017,4.31,0.256,0.37,0.001,2.36,-888.88,-888.88,0.47,4.95,-888.88,-888.88,-888.88,0.0058,5.24,14.46,-4.54
1998,949.917,1.03,0.26,0.15,0.96,-888.888,-888.888,-888.888,-888.88,0.01,4.05,1.459,0.44,0,1.87,-888.88,-888.88,0.42,5.28,-888.88,-888.88,-888.88,0.0069,5.16,15.81,-6.12
1999,1057.906,0.93,0.25,0.14,0.93,-888.888,-888.888,-888.888,-888.88,0.01,4.15,1.054,0.48,0,1.74,-888.88,-888.88,0.46,5.12,-888.88,-888.88,-888.88,0.0074,5.13,15.5,-6.23
2000,613.573,0.89,0.24,0.15,0.93,-888.888,-888.888,-888.888,-888.88,0.01,4.3,0.616,0.39,0,1.77,-888.88,-888.88,0.49,5.24,-888.88,-888.88,-888.88,0.0056,5.25,14.71,-2.9
2001,708.185,0.85,0.22,0.13,0.93,-888.888,-888.888,-888.888,-888.88,0.01,4.25,0.253,0.51,0.001,1.77,-888.88,-888.88,0.47,4.94,-888.88,-888.88,-888.88,0.0065,5.18,14.68,-5.48
2002,593.072,0.84,0.22,0.13,0.95,-888.888,-888.888,-888.888,-888.88,0.01,4.26,0.28,0.51,0,1.77,-888.88,-888.88,0.49,4.87,-888.88,-888.88,-888.88,0.0059,5.23,14.41,0.67
2003,1126.507,0.79,0.2,0.1,0.9,-888.888,-888.888,-888.888,-888.88,0.01,4.01,0.167,0.52,0,1.78,-888.88,-888.88,0.47,4.71,-888.88,-888.88,-888.88,0.0068,5.17,13.89,-4.98
2004,928.553,0.77,0.22,0.1,0.95,-888.888,-888.888,-888.888,-888.88,0.01,3.98,0.185,0.45,0,1.77,-888.88,-888.88,0.51,4.76,-888.88,-888.88,-888.88,0.005,5.3,13.01,2.4
2005,1185.359,0.74,0.2,0.09,0.9,-888.888,-888.888,-888.888,-888.88,0.01,3.77,0.087,0.45,0,1.77,-888.88,-888.88,0.46,4.55,-888.88,-888.88,-888.88,0.0045,5.35,12.41,0.6
2006,940.373,0.73,0.21,0.13,0.87,-888.888,-888.888,-888.888,-888.88,0.01,3.57,0.398,0.39,0,1.77,-888.88,-888.88,0.44,4.57,-888.88,-888.88,-888.88,0.0048,5.32,12.65,-0.59
2007,1020.284,0.73,0.22,0.12,0.88,-888.888,-888.888,-888.888,-888.88,0.01,3.61,0.291,0.35,0,1.77,-888.88,-888.88,0.45,4.87,-888.88,-888.88,-888.88,0.0042,5.38,12.22,1.83
2008,1035.274,0.7,0.21,0.08,0.82,-888.888,-888.888,-888.888,-888.88,0.01,3.45,0.151,0.32,0,1.78,-888.88,-888.88,0.51,5.03,-888.88,-888.88,-888.88,0.0037,5.43,11.72,5.65
2009,1089.285,0.68,0.2,0.1,0.82,-888.888,-888.888,-888.888,-888.88,0.01,3.2,0.091,0.33,0,1.77,-888.88,-888.88,0.42,5.02,-888.88,-888.88,-888.88,0.0029,5.54,11.13,4.11
2010,1268.044,0.68,0.2,0.13,0.82,-888.888,-888.888,-888.888,-888.88,0.01,3.01,0.254,0.39,0,1.77,-888.88,-888.88,0.43,4.91,-888.88,-888.88,-888.88,0.004,5.4,11.57,4.9
2011,1178.391,0.66,0.19,0.1,0.84,-888.888,0.07,0.046,-888.88,0.01,2.87,0.264,0.33,0,1.77,-888.88,-888.88,0.41,5.23,-888.88,-888.88,-888.88,0.003,5.53,10.7,2.18
2012,991.097,0.67,0.2,0.11,0.95,-888.888,0.062,0.04,-888.88,0.009,2.87,0.406,0.4,0.001,1.95,-888.88,-888.88,0.48,5.44,-888.88,-888.88,-888.88,0.0023,5.65,11.14,7.85
2013,1002.217,0.75,0.23,0.16,0.97,-888.888,0.077,0.037,0.13,0.005,2.59,1.448,0.39,0.001,2.17,0.41,0.08,0.46,5.4,0.01,0,0.03,0.0029,5.54,11.7,7.31
2014,711.369,0.7,0.21,0.16,0.85,-888.888,0.083,0.051,0.18,0.007,2.52,0.69,0.48,0,2.7,0.24,0.08,0.52,5.35,0.01,0.01,0.03,0.003,5.52,10.48,8.65
2015,882.753,0.62,0.17,0.12,0.87,-888.888,0.069,0.044,0.15,0.004,2.52,0.195,0.47,0,2.69,0.13,0.09,0.49,5.15,0,0,0.03,0.0025,5.6,10.08,9.33
2016,699.84,0.58,0.18,0.13,0.73,-888.888,0.081,0.035,0.17,0.005,2.35,0.249,0.43,0,2.61,0.14,0.08,0.48,4.91,0,0.01,0.03,0.0024,5.61,10.19,9.28
2017,924.314,0.57,0.17,0.16,0.76,-888.888,0.098,0.051,0.18,0.006,2.39,0.16,0.52,0,3.33,0.13,0.09,0.68,4.79,0,0.01,0.04,0.0029,5.53,9.99,10.72
2018,1181.713,0.52,0.16,0.13,0.65,-888.888,0.093,0.05,0.18,0.01,2.12,0.223,0.41,0,3.13,0.13,0.09,0.49,4.57,0.01,0.01,0.03,0.0023,5.64,9.35,10.77
